Date,Gold_Price,High,Low,Open,Volume
12/2/2024,2634.89990234375,2649.800048828125,2621.699951171875,2649.0,695
12/3/2024,2644.699951171875,2654.699951171875,2636.0,2639.0,1062
12/4/2024,2653.800048828125,2658.300048828125,2637.0,2639.199951171875,249
12/5/2024,2626.60009765625,2655.0,2625.699951171875,2652.39990234375,573
12/6/2024,2638.60009765625,2643.10009765625,2617.5,2620.199951171875,571
12/9/2024,2664.89990234375,2677.10009765625,2630.800048828125,2632.10009765625,935
12/10/2024,2697.60009765625,2698.199951171875,2661.0,2662.300048828125,437
12/11/2024,2733.800048828125,2733.800048828125,2693.10009765625,2701.800048828125,3387
12/12/2024,2687.5,2725.10009765625,2677.39990234375,2725.10009765625,2365
12/13/2024,2656.0,2689.300048828125,2647.89990234375,2688.199951171875,1125
12/16/2024,2651.39990234375,2663.300048828125,2651.0,2658.300048828125,877
12/17/2024,2644.39990234375,2652.300048828125,2632.5,2651.800048828125,705
12/18/2024,2636.5,2647.10009765625,2590.199951171875,2644.300048828125,566
12/19/2024,2592.199951171875,2610.300048828125,2582.10009765625,2582.10009765625,238
12/20/2024,2628.699951171875,2631.60009765625,2604.89990234375,2605.300048828125,592
12/23/2024,2612.300048828125,2627.699951171875,2611.10009765625,2620.0,451
12/24/2024,2620.0,2620.0,2609.5,2613.0,35
12/26/2024,2638.800048828125,2638.800048828125,2627.89990234375,2628.5,84
12/27/2024,2617.199951171875,2617.699951171875,2616.39990234375,2617.699951171875,642
12/30/2024,2606.10009765625,2626.89990234375,2597.0,2620.699951171875,794
12/31/2024,2629.199951171875,2629.199951171875,2604.89990234375,2608.39990234375,401
1/2/2025,2658.89990234375,2663.10009765625,2633.0,2633.0,1728
1/3/2025,2645.0,2658.699951171875,2641.800048828125,2658.699951171875,591
1/6/2025,2638.39990234375,2647.0,2617.300048828125,2645.5,960
1/7/2025,2656.699951171875,2657.5,2653.0,2653.39990234375,643
1/8/2025,2664.5,2676.89990234375,2653.5,2655.5,999
1/9/2025,2683.800048828125,2686.300048828125,2667.89990234375,2669.699951171875,1139
1/10/2025,2708.5,2720.10009765625,2683.699951171875,2686.10009765625,403
1/13/2025,2673.5,2711.199951171875,2673.5,2711.10009765625,765
1/14/2025,2677.5,2688.300048828125,2670.800048828125,2673.60009765625,794
1/15/2025,2712.5,2712.5,2690.800048828125,2690.800048828125,930
1/16/2025,2746.39990234375,2749.800048828125,2731.699951171875,2731.699951171875,1721
1/17/2025,2744.300048828125,2751.60009765625,2725.5,2736.0,1214
1/21/2025,2755.0,2755.0,2724.800048828125,2746.0,1439
1/22/2025,2767.60009765625,2768.800048828125,2753.5,2754.5,2079
1/23/2025,2763.10009765625,2765.0,2745.39990234375,2760.0,2201
1/24/2025,2777.300048828125,2792.0,2759.800048828125,2759.800048828125,1593
1/27/2025,2737.5,2762.199951171875,2737.5,2761.10009765625,984
1/28/2025,2766.800048828125,2766.800048828125,2738.0,2738.0,2307
1/29/2025,2769.10009765625,2769.10009765625,2769.10009765625,2769.10009765625,125692
1/30/2025,2823.0,2829.5,2770.0,2772.5,40141
